Time: 17:57 07/05/2023
PID: 15	 PPID: 2	 Name: migration/0	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 46	Priority: -100	Nice: 0	Threads: 1	Start: 19	Vmemory: 0	CMD: migration/0	Memory: 0.00 MB	CPU: 0.04%
PID: 16	 PPID: 2	 Name: idle_inject/0	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 0	Priority: -51	Nice: 0	Threads: 1	Start: 19	Vmemory: 0	CMD: idle_inject/0	Memory: 0.00 MB	CPU: 0.00%
PID: 18	 PPID: 2	 Name: cpuhp/0	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 19	Vmemory: 0	CMD: cpuhp/0	Memory: 0.00 MB	CPU: 0.00%
PID: 19	 PPID: 2	 Name: cpuhp/1	 State: S	 TTYGID: -1	 Flags: 69239104	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 19	Vmemory: 0	CMD: cpuhp/1	Memory: 0.00 MB	CPU: 0.00%
PID: 20	 PPID: 2	 Name: idle_inject/1	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 0	Priority: -51	Nice: 0	Threads: 1	Start: 19	Vmemory: 0	CMD: idle_inject/1	Memory: 0.00 MB	CPU: 0.00%
PID: 21	 PPID: 2	 Name: migration/1	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 65	Priority: -100	Nice: 0	Threads: 1	Start: 19	Vmemory: 0	CMD: migration/1	Memory: 0.00 MB	CPU: 0.06%
PID: 22	 PPID: 2	 Name: ksoftirqd/1	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 9	Priority: 20	Nice: 0	Threads: 1	Start: 19	Vmemory: 0	CMD: ksoftirqd/1	Memory: 0.00 MB	CPU: 0.01%
PID: 24	 PPID: 2	 Name: kworker/1:0H-radeon-crtc	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 32	Priority: 0	Nice: -20	Threads: 1	Start: 19	Vmemory: 0	CMD: kworker/1:0H-radeon-crtc	Memory: 0.00 MB	CPU: 0.03%
PID: 25	 PPID: 2	 Name: cpuhp/2	 State: S	 TTYGID: -1	 Flags: 69239104	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 19	Vmemory: 0	CMD: cpuhp/2	Memory: 0.00 MB	CPU: 0.00%
PID: 26	 PPID: 2	 Name: idle_inject/2	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 0	Priority: -51	Nice: 0	Threads: 1	Start: 19	Vmemory: 0	CMD: idle_inject/2	Memory: 0.00 MB	CPU: 0.00%
PID: 27	 PPID: 2	 Name: migration/2	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 66	 Stime: 0	Priority: -100	Nice: 0	Threads: 1	Start: 19	Vmemory: 0	CMD: migration/2	Memory: 0.00 MB	CPU: 0.06%
PID: 28	 PPID: 2	 Name: ksoftirqd/2	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 13	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 19	Vmemory: 0	CMD: ksoftirqd/2	Memory: 0.00 MB	CPU: 0.01%
PID: 30	 PPID: 2	 Name: kworker/2:0H-events_highpri	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 19	Vmemory: 0	CMD: kworker/2:0H-events_highpri	Memory: 0.00 MB	CPU: 0.00%
PID: 31	 PPID: 2	 Name: cpuhp/3	 State: S	 TTYGID: -1	 Flags: 69239104	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 20	Vmemory: 0	CMD: cpuhp/3	Memory: 0.00 MB	CPU: 0.00%
PID: 32	 PPID: 2	 Name: idle_inject/3	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 0	Priority: -51	Nice: 0	Threads: 1	Start: 20	Vmemory: 0	CMD: idle_inject/3	Memory: 0.00 MB	CPU: 0.00%
PID: 33	 PPID: 2	 Name: migration/3	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 66	Priority: -100	Nice: 0	Threads: 1	Start: 20	Vmemory: 0	CMD: migration/3	Memory: 0.00 MB	CPU: 0.06%
PID: 34	 PPID: 2	 Name: ksoftirqd/3	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 9	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 20	Vmemory: 0	CMD: ksoftirqd/3	Memory: 0.00 MB	CPU: 0.01%
PID: 36	 PPID: 2	 Name: kworker/3:0H-kblockd	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 20	Vmemory: 0	CMD: kworker/3:0H-kblockd	Memory: 0.00 MB	CPU: 0.00%
PID: 37	 PPID: 2	 Name: cpuhp/4	 State: S	 TTYGID: -1	 Flags: 69239104	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 20	Vmemory: 0	CMD: cpuhp/4	Memory: 0.00 MB	CPU: 0.00%
PID: 38	 PPID: 2	 Name: idle_inject/4	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 0	Priority: -51	Nice: 0	Threads: 1	Start: 20	Vmemory: 0	CMD: idle_inject/4	Memory: 0.00 MB	CPU: 0.00%
PID: 39	 PPID: 2	 Name: migration/4	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 66	Priority: -100	Nice: 0	Threads: 1	Start: 20	Vmemory: 0	CMD: migration/4	Memory: 0.00 MB	CPU: 0.06%
PID: 40	 PPID: 2	 Name: ksoftirqd/4	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 9	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 20	Vmemory: 0	CMD: ksoftirqd/4	Memory: 0.00 MB	CPU: 0.01%
PID: 42	 PPID: 2	 Name: kworker/4:0H-kblockd	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 20	Vmemory: 0	CMD: kworker/4:0H-kblockd	Memory: 0.00 MB	CPU: 0.00%
PID: 43	 PPID: 2	 Name: cpuhp/5	 State: S	 TTYGID: -1	 Flags: 69239104	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 20	Vmemory: 0	CMD: cpuhp/5	Memory: 0.00 MB	CPU: 0.00%
PID: 44	 PPID: 2	 Name: idle_inject/5	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 0	Priority: -51	Nice: 0	Threads: 1	Start: 20	Vmemory: 0	CMD: idle_inject/5	Memory: 0.00 MB	CPU: 0.00%
PID: 45	 PPID: 2	 Name: migration/5	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 65	Priority: -100	Nice: 0	Threads: 1	Start: 20	Vmemory: 0	CMD: migration/5	Memory: 0.00 MB	CPU: 0.06%
PID: 46	 PPID: 2	 Name: ksoftirqd/5	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 9	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 20	Vmemory: 0	CMD: ksoftirqd/5	Memory: 0.00 MB	CPU: 0.01%
PID: 48	 PPID: 2	 Name: kworker/5:0H-kblockd	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 20	Vmemory: 0	CMD: kworker/5:0H-kblockd	Memory: 0.00 MB	CPU: 0.00%
PID: 49	 PPID: 2	 Name: cpuhp/6	 State: S	 TTYGID: -1	 Flags: 69239104	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 20	Vmemory: 0	CMD: cpuhp/6	Memory: 0.00 MB	CPU: 0.00%
PID: 50	 PPID: 2	 Name: idle_inject/6	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 0	Priority: -51	Nice: 0	Threads: 1	Start: 20	Vmemory: 0	CMD: idle_inject/6	Memory: 0.00 MB	CPU: 0.00%
PID: 51	 PPID: 2	 Name: migration/6	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 66	 Stime: 0	Priority: -100	Nice: 0	Threads: 1	Start: 20	Vmemory: 0	CMD: migration/6	Memory: 0.00 MB	CPU: 0.06%
PID: 52	 PPID: 2	 Name: ksoftirqd/6	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 1	 Stime: 9	Priority: 20	Nice: 0	Threads: 1	Start: 20	Vmemory: 0	CMD: ksoftirqd/6	Memory: 0.00 MB	CPU: 0.01%
PID: 55	 PPID: 2	 Name: cpuhp/7	 State: S	 TTYGID: -1	 Flags: 69239104	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 20	Vmemory: 0	CMD: cpuhp/7	Memory: 0.00 MB	CPU: 0.00%
